label,bytes,grpThreads,allThreads,Latency
GQL GET Expenses,256218,1,1,107
Transaction Controller,256218,1,1,107
GQL GET Expenses,256218,1,1,104
Transaction Controller,256218,1,1,104
GQL GET Expenses,256218,1,1,105
Transaction Controller,256218,1,1,105
GQL GET Expenses,256218,1,1,104
Transaction Controller,256218,1,1,104
GQL GET Expenses,256218,1,1,106
Transaction Controller,256218,1,1,106
GQL GET Expenses,256218,1,1,110
Transaction Controller,256218,1,1,110
GQL GET Expenses,256218,1,1,109
Transaction Controller,256218,1,1,109
GQL GET Expenses,256218,1,1,126
Transaction Controller,256218,1,1,126
GQL GET Expenses,256218,1,1,103
Transaction Controller,256218,1,1,103
REST GET users,72673,1,1,42
Transaction Controller,72673,1,1,42
REST GET users,72673,1,1,34
Transaction Controller,72673,1,1,34
REST GET users,72673,1,1,29
Transaction Controller,72673,1,1,29
REST GET users,72673,1,1,42
Transaction Controller,72673,1,1,42
REST GET users,72673,1,1,30
Transaction Controller,72673,1,1,30
REST GET users,72673,1,1,34
Transaction Controller,72673,1,1,34
REST GET users,72673,1,1,44
Transaction Controller,72673,1,1,44
REST GET users,72673,1,1,37
Transaction Controller,72673,1,1,37
REST GET users,72673,1,1,43
Transaction Controller,72673,1,1,43
REST GET users,72673,1,1,41
Transaction Controller,72673,1,1,41
REST GET users,72673,1,1,36
Transaction Controller,72673,1,1,36
REST GET users,72673,1,1,36
Transaction Controller,72673,1,1,36
REST GET users,72673,1,1,39
Transaction Controller,72673,1,1,39
REST GET users,72673,1,1,40
Transaction Controller,72673,1,1,40
REST GET users,72673,1,1,38
Transaction Controller,72673,1,1,38
REST GET users,72673,1,1,45
Transaction Controller,72673,1,1,45
REST GET users,72673,1,1,41
Transaction Controller,72673,1,1,41
REST GET users,72673,1,1,42
Transaction Controller,72673,1,1,42
REST GET users,72673,1,1,41
Transaction Controller,72673,1,1,41
REST GET users,72673,1,1,39
Transaction Controller,72673,1,1,39
REST GET users,72673,1,1,51
Transaction Controller,72673,1,1,51
REST GET users,72673,1,1,41
Transaction Controller,72673,1,1,41
REST GET users,72673,1,1,36
Transaction Controller,72673,1,1,36
REST GET users,72673,1,1,39
Transaction Controller,72673,1,1,39
REST GET users,72673,1,1,40
Transaction Controller,72673,1,1,40
REST GET users,72673,1,1,39
Transaction Controller,72673,1,1,39
REST GET users,72673,1,1,41
Transaction Controller,72673,1,1,41
REST GET users,72673,1,1,50
Transaction Controller,72673,1,1,50
REST GET users,72673,1,1,41
Transaction Controller,72673,1,1,41
REST GET users,72673,1,1,41
Transaction Controller,72673,1,1,41
REST GET users,72673,1,1,37
Transaction Controller,72673,1,1,37
REST GET users,72673,1,1,41
Transaction Controller,72673,1,1,41
REST GET users,72673,1,1,37
Transaction Controller,72673,1,1,37
REST GET users,72673,1,1,44
Transaction Controller,72673,1,1,44
REST GET users,72673,1,1,44
Transaction Controller,72673,1,1,44
REST GET users,72673,1,1,37
Transaction Controller,72673,1,1,37
REST GET users,72673,1,1,41
Transaction Controller,72673,1,1,41
REST GET users,72673,1,1,40
Transaction Controller,72673,1,1,40
REST GET users,72673,1,1,39
Transaction Controller,72673,1,1,39
REST GET users,72673,1,1,40
Transaction Controller,72673,1,1,40
REST GET users,72673,1,1,45
Transaction Controller,72673,1,1,45
REST GET users,72673,1,1,45
Transaction Controller,72673,1,1,45
REST GET users,72673,1,1,40
Transaction Controller,72673,1,1,40
REST GET users,72673,1,1,37
Transaction Controller,72673,1,1,37
REST GET users,72673,1,1,37
Transaction Controller,72673,1,1,37
REST GET users,72673,1,1,35
Transaction Controller,72673,1,1,35
REST GET users,72673,1,1,42
Transaction Controller,72673,1,1,42
REST GET users,72673,1,1,42
